S_N,Site_ID,Site_Name,cell Name,LAC,Cell_ID,LAT,LONG,NEAREST_SCHOOL,Cell_Name
1,SL0001,Wilberforce,,21000,20011,8.46567,-13.262365,"Services Junior Secondary School Wilberforce(Junior Secondary)|Approved|Government,Services Childrens Junior Girls Primary School(Primary)|Approved|Government,Faith International Academy(Primary)|Not Approved|Private,Faith International Academy Pre School(Pre-Primary)|Not Approved|Private,Services Junior Boys Primary School(Primary)|Approved|Government",WFORCE1
2,SL0001,Wilberforce,,21000,20012,8.46567,-13.262365,"Services Junior Secondary School Wilberforce(Junior Secondary)|Approved|Government,Services Childrens Junior Girls Primary School(Primary)|Approved|Government,Faith International Academy(Primary)|Not Approved|Private,Faith International Academy Pre School(Pre-Primary)|Not Approved|Private,Services Junior Boys Primary School(Primary)|Approved|Government",WFORCE2
3,SL0001,Wilberforce,,21000,20013,8.46567,-13.262365,"Services Junior Secondary School Wilberforce(Junior Secondary)|Approved|Government,Services Childrens Junior Girls Primary School(Primary)|Approved|Government,Faith International Academy(Primary)|Not Approved|Private,Faith International Academy Pre School(Pre-Primary)|Not Approved|Private,Services Junior Boys Primary School(Primary)|Approved|Government",WFORCE3
1097,SL0001,Wilberforce,,30000,10011,8.46567,-13.262365,"Services Junior Secondary School Wilberforce(Junior Secondary)|Approved|Government,Services Childrens Junior Girls Primary School(Primary)|Approved|Government,Faith International Academy(Primary)|Not Approved|Private,Faith International Academy Pre School(Pre-Primary)|Not Approved|Private,Services Junior Boys Primary School(Primary)|Approved|Government",UWFRCEA
1098,SL0001,Wilberforce,,30000,10012,8.46567,-13.262365,"Services Junior Secondary School Wilberforce(Junior Secondary)|Approved|Government,Services Childrens Junior Girls Primary School(Primary)|Approved|Government,Faith International Academy(Primary)|Not Approved|Private,Faith International Academy Pre School(Pre-Primary)|Not Approved|Private,Services Junior Boys Primary School(Primary)|Approved|Government",UWFRCEB
1099,SL0001,Wilberforce,,30000,10013,8.46567,-13.262365,"Services Junior Secondary School Wilberforce(Junior Secondary)|Approved|Government,Services Childrens Junior Girls Primary School(Primary)|Approved|Government,Faith International Academy(Primary)|Not Approved|Private,Faith International Academy Pre School(Pre-Primary)|Not Approved|Private,Services Junior Boys Primary School(Primary)|Approved|Government",UWFRCEC
1100,SL0001,Wilberforce,,30000,30011,8.46567,-13.262365,"Services Junior Secondary School Wilberforce(Junior Secondary)|Approved|Government,Services Childrens Junior Girls Primary School(Primary)|Approved|Government,Faith International Academy(Primary)|Not Approved|Private,Faith International Academy Pre School(Pre-Primary)|Not Approved|Private,Services Junior Boys Primary School(Primary)|Approved|Government",UWFRCEI
1101,SL0001,Wilberforce,,30000,30012,8.46567,-13.262365,"Services Junior Secondary School Wilberforce(Junior Secondary)|Approved|Government,Services Childrens Junior Girls Primary School(Primary)|Approved|Government,Faith International Academy(Primary)|Not Approved|Private,Faith International Academy Pre School(Pre-Primary)|Not Approved|Private,Services Junior Boys Primary School(Primary)|Approved|Government",UWFRCEJ
1102,SL0001,Wilberforce,,30000,30013,8.46567,-13.262365,"Services Junior Secondary School Wilberforce(Junior Secondary)|Approved|Government,Services Childrens Junior Girls Primary School(Primary)|Approved|Government,Faith International Academy(Primary)|Not Approved|Private,Faith International Academy Pre School(Pre-Primary)|Not Approved|Private,Services Junior Boys Primary School(Primary)|Approved|Government",UWFRCEK
1103,SL0001,Wilberforce,,30000,30014,8.46567,-13.262365,"Services Junior Secondary School Wilberforce(Junior Secondary)|Approved|Government,Services Childrens Junior Girls Primary School(Primary)|Approved|Government,Faith International Academy(Primary)|Not Approved|Private,Faith International Academy Pre School(Pre-Primary)|Not Approved|Private,Services Junior Boys Primary School(Primary)|Approved|Government",UWFRCEM
1104,SL0001,Wilberforce,,30000,30015,8.46567,-13.262365,"Services Junior Secondary School Wilberforce(Junior Secondary)|Approved|Government,Services Childrens Junior Girls Primary School(Primary)|Approved|Government,Faith International Academy(Primary)|Not Approved|Private,Faith International Academy Pre School(Pre-Primary)|Not Approved|Private,Services Junior Boys Primary School(Primary)|Approved|Government",UWFRCEN
1105,SL0001,Wilberforce,,30000,30016,8.46567,-13.262365,"Services Junior Secondary School Wilberforce(Junior Secondary)|Approved|Government,Services Childrens Junior Girls Primary School(Primary)|Approved|Government,Faith International Academy(Primary)|Not Approved|Private,Faith International Academy Pre School(Pre-Primary)|Not Approved|Private,Services Junior Boys Primary School(Primary)|Approved|Government",UWFRCEP
1106,SL0001,Wilberforce,,30000,30017,8.46567,-13.262365,"Services Junior Secondary School Wilberforce(Junior Secondary)|Approved|Government,Services Childrens Junior Girls Primary School(Primary)|Approved|Government,Faith International Academy(Primary)|Not Approved|Private,Faith International Academy Pre School(Pre-Primary)|Not Approved|Private,Services Junior Boys Primary School(Primary)|Approved|Government",UWFRCEX
1107,SL0001,Wilberforce,,30000,30018,8.46567,-13.262365,"Services Junior Secondary School Wilberforce(Junior Secondary)|Approved|Government,Services Childrens Junior Girls Primary School(Primary)|Approved|Government,Faith International Academy(Primary)|Not Approved|Private,Faith International Academy Pre School(Pre-Primary)|Not Approved|Private,Services Junior Boys Primary School(Primary)|Approved|Government",UWFRCEY
1108,SL0001,Wilberforce,,30000,30019,8.46567,-13.262365,"Services Junior Secondary School Wilberforce(Junior Secondary)|Approved|Government,Services Childrens Junior Girls Primary School(Primary)|Approved|Government,Faith International Academy(Primary)|Not Approved|Private,Faith International Academy Pre School(Pre-Primary)|Not Approved|Private,Services Junior Boys Primary School(Primary)|Approved|Government",UWFRCEZ
3230,SL0001,LWFRCE,,4100,400011,8.46567,-13.262365,"Services Junior Secondary School Wilberforce(Junior Secondary)|Approved|Government,Services Childrens Junior Girls Primary School(Primary)|Approved|Government,Faith International Academy(Primary)|Not Approved|Private,Faith International Academy Pre School(Pre-Primary)|Not Approved|Private,Services Junior Boys Primary School(Primary)|Approved|Government",LWFRCE1
3231,SL0001,LWFRCE,,4100,400012,8.46567,-13.262365,"Services Junior Secondary School Wilberforce(Junior Secondary)|Approved|Government,Services Childrens Junior Girls Primary School(Primary)|Approved|Government,Faith International Academy(Primary)|Not Approved|Private,Faith International Academy Pre School(Pre-Primary)|Not Approved|Private,Services Junior Boys Primary School(Primary)|Approved|Government",LWFRCE2
3232,SL0001,LWFRCE,,4100,400013,8.46567,-13.262365,"Services Junior Secondary School Wilberforce(Junior Secondary)|Approved|Government,Services Childrens Junior Girls Primary School(Primary)|Approved|Government,Faith International Academy(Primary)|Not Approved|Private,Faith International Academy Pre School(Pre-Primary)|Not Approved|Private,Services Junior Boys Primary School(Primary)|Approved|Government",LWFRCE3
4,SL0002,Kissy Road,,22000,20021,8.48491,-13.217968,"Bethel Infants Municipal School(Primary)|Approved|Mission/religious group,Abu Kohla Learnig Center(Pre-Primary)|Approved|Private,Abu Kohla Learning Center(Primary)|Approved|Private,Basharia Lslamic Primary School(Primary)|Not Approved|Mission/religious group,Ginger Hall Daycare Pre-Primary School(Pre-Primary)|Not Approved|Community",KROAD1
5,SL0002,Kissy Road,,22000,20022,8.48491,-13.217968,"Bethel Infants Municipal School(Primary)|Approved|Mission/religious group,Abu Kohla Learnig Center(Pre-Primary)|Approved|Private,Abu Kohla Learning Center(Primary)|Approved|Private,Basharia Lslamic Primary School(Primary)|Not Approved|Mission/religious group,Ginger Hall Daycare Pre-Primary School(Pre-Primary)|Not Approved|Community",KROAD2
6,SL0002,Kissy Road,,22000,20023,8.48491,-13.217968,"Bethel Infants Municipal School(Primary)|Approved|Mission/religious group,Abu Kohla Learnig Center(Pre-Primary)|Approved|Private,Abu Kohla Learning Center(Primary)|Approved|Private,Basharia Lslamic Primary School(Primary)|Not Approved|Mission/religious group,Ginger Hall Daycare Pre-Primary School(Pre-Primary)|Not Approved|Community",KROAD3
1109,SL0002,Kissy Road,,31000,10021,8.48491,-13.217968,"Bethel Infants Municipal School(Primary)|Approved|Mission/religious group,Abu Kohla Learnig Center(Pre-Primary)|Approved|Private,Abu Kohla Learning Center(Primary)|Approved|Private,Basharia Lslamic Primary School(Primary)|Not Approved|Mission/religious group,Ginger Hall Daycare Pre-Primary School(Pre-Primary)|Not Approved|Community",UKROADA
1110,SL0002,Kissy Road,,31000,10022,8.48491,-13.217968,"Bethel Infants Municipal School(Primary)|Approved|Mission/religious group,Abu Kohla Learnig Center(Pre-Primary)|Approved|Private,Abu Kohla Learning Center(Primary)|Approved|Private,Basharia Lslamic Primary School(Primary)|Not Approved|Mission/religious group,Ginger Hall Daycare Pre-Primary School(Pre-Primary)|Not Approved|Community",UKROADB
1111,SL0002,Kissy Road,,31000,10023,8.48491,-13.217968,"Bethel Infants Municipal School(Primary)|Approved|Mission/religious group,Abu Kohla Learnig Center(Pre-Primary)|Approved|Private,Abu Kohla Learning Center(Primary)|Approved|Private,Basharia Lslamic Primary School(Primary)|Not Approved|Mission/religious group,Ginger Hall Daycare Pre-Primary School(Pre-Primary)|Not Approved|Community",UKROADC
1112,SL0002,Kissy Road,,31000,30021,8.48491,-13.217968,"Bethel Infants Municipal School(Primary)|Approved|Mission/religious group,Abu Kohla Learnig Center(Pre-Primary)|Approved|Private,Abu Kohla Learning Center(Primary)|Approved|Private,Basharia Lslamic Primary School(Primary)|Not Approved|Mission/religious group,Ginger Hall Daycare Pre-Primary School(Pre-Primary)|Not Approved|Community",UKROADI
1113,SL0002,Kissy Road,,31000,30022,8.48491,-13.217968,"Bethel Infants Municipal School(Primary)|Approved|Mission/religious group,Abu Kohla Learnig Center(Pre-Primary)|Approved|Private,Abu Kohla Learning Center(Primary)|Approved|Private,Basharia Lslamic Primary School(Primary)|Not Approved|Mission/religious group,Ginger Hall Daycare Pre-Primary School(Pre-Primary)|Not Approved|Community",UKROADJ
1114,SL0002,Kissy Road,,31000,30023,8.48491,-13.217968,"Bethel Infants Municipal School(Primary)|Approved|Mission/religious group,Abu Kohla Learnig Center(Pre-Primary)|Approved|Private,Abu Kohla Learning Center(Primary)|Approved|Private,Basharia Lslamic Primary School(Primary)|Not Approved|Mission/religious group,Ginger Hall Daycare Pre-Primary School(Pre-Primary)|Not Approved|Community",UKROADK
1115,SL0002,Kissy Road,,31000,30024,8.48491,-13.217968,"Bethel Infants Municipal School(Primary)|Approved|Mission/religious group,Abu Kohla Learnig Center(Pre-Primary)|Approved|Private,Abu Kohla Learning Center(Primary)|Approved|Private,Basharia Lslamic Primary School(Primary)|Not Approved|Mission/religious group,Ginger Hall Daycare Pre-Primary School(Pre-Primary)|Not Approved|Community",UKROADM
1116,SL0002,Kissy Road,,31000,30025,8.48491,-13.217968,"Bethel Infants Municipal School(Primary)|Approved|Mission/religious group,Abu Kohla Learnig Center(Pre-Primary)|Approved|Private,Abu Kohla Learning Center(Primary)|Approved|Private,Basharia Lslamic Primary School(Primary)|Not Approved|Mission/religious group,Ginger Hall Daycare Pre-Primary School(Pre-Primary)|Not Approved|Community",UKROADN
1117,SL0002,Kissy Road,,31000,30026,8.48491,-13.217968,"Bethel Infants Municipal School(Primary)|Approved|Mission/religious group,Abu Kohla Learnig Center(Pre-Primary)|Approved|Private,Abu Kohla Learning Center(Primary)|Approved|Private,Basharia Lslamic Primary School(Primary)|Not Approved|Mission/religious group,Ginger Hall Daycare Pre-Primary School(Pre-Primary)|Not Approved|Community",UKROADP
1118,SL0002,Kissy Road,,31000,30027,8.48491,-13.217968,"Bethel Infants Municipal School(Primary)|Approved|Mission/religious group,Abu Kohla Learnig Center(Pre-Primary)|Approved|Private,Abu Kohla Learning Center(Primary)|Approved|Private,Basharia Lslamic Primary School(Primary)|Not Approved|Mission/religious group,Ginger Hall Daycare Pre-Primary School(Pre-Primary)|Not Approved|Community",UKROADX
1119,SL0002,Kissy Road,,31000,30028,8.48491,-13.217968,"Bethel Infants Municipal School(Primary)|Approved|Mission/religious group,Abu Kohla Learnig Center(Pre-Primary)|Approved|Private,Abu Kohla Learning Center(Primary)|Approved|Private,Basharia Lslamic Primary School(Primary)|Not Approved|Mission/religious group,Ginger Hall Daycare Pre-Primary School(Pre-Primary)|Not Approved|Community",UKROADY
1120,SL0002,Kissy Road,,31000,30029,8.48491,-13.217968,"Bethel Infants Municipal School(Primary)|Approved|Mission/religious group,Abu Kohla Learnig Center(Pre-Primary)|Approved|Private,Abu Kohla Learning Center(Primary)|Approved|Private,Basharia Lslamic Primary School(Primary)|Not Approved|Mission/religious group,Ginger Hall Daycare Pre-Primary School(Pre-Primary)|Not Approved|Community",UKROADZ
