S_N,Site_Name,Site_ID,LAT,LONG,MCC,MNC,Cell_Name,LAC,Cell_ID,NEAREST_FACILITY,Site_ID,Site_RName,Cell_Name
1,,,8.46567,-13.262365,619,1,,10000,30581,"Wilberforce CHC(CHC),Scan Drive MCHP(MCHP),Signal Hill Rd(MCHP),Blessed Mokaba Central (EPI)(CHP),Blind School Clinic(Clinic)",SL0001,Wilberforce,UWFRCEI
2,,,8.46567,-13.262365,619,1,,10000,30581,"Wilberforce CHC(CHC),Scan Drive MCHP(MCHP),Signal Hill Rd(MCHP),Blessed Mokaba Central (EPI)(CHP),Blind School Clinic(Clinic)",SL0001,Wilberforce,UWFRCEI
3,,,8.46567,-13.262365,619,1,,10000,30582,"Wilberforce CHC(CHC),Scan Drive MCHP(MCHP),Signal Hill Rd(MCHP),Blessed Mokaba Central (EPI)(CHP),Blind School Clinic(Clinic)",SL0001,Wilberforce,UWFRCEJ
4,,,8.46567,-13.262365,619,1,,10000,30582,"Wilberforce CHC(CHC),Scan Drive MCHP(MCHP),Signal Hill Rd(MCHP),Blessed Mokaba Central (EPI)(CHP),Blind School Clinic(Clinic)",SL0001,Wilberforce,UWFRCEJ
5,,,8.46567,-13.262365,619,1,,10000,30583,"Wilberforce CHC(CHC),Scan Drive MCHP(MCHP),Signal Hill Rd(MCHP),Blessed Mokaba Central (EPI)(CHP),Blind School Clinic(Clinic)",SL0001,Wilberforce,UWFRCEK
6,,,8.46567,-13.262365,619,1,,10000,30583,"Wilberforce CHC(CHC),Scan Drive MCHP(MCHP),Signal Hill Rd(MCHP),Blessed Mokaba Central (EPI)(CHP),Blind School Clinic(Clinic)",SL0001,Wilberforce,UWFRCEK
7,,,8.46567,-13.262365,619,1,,10000,1014,"Wilberforce CHC(CHC),Scan Drive MCHP(MCHP),Signal Hill Rd(MCHP),Blessed Mokaba Central (EPI)(CHP),Blind School Clinic(Clinic)",SL0001,Wilberforce,UWFRCEM
8,,,8.46567,-13.262365,619,1,,10000,1014,"Wilberforce CHC(CHC),Scan Drive MCHP(MCHP),Signal Hill Rd(MCHP),Blessed Mokaba Central (EPI)(CHP),Blind School Clinic(Clinic)",SL0001,Wilberforce,UWFRCEM
9,,,8.46567,-13.262365,619,1,,10000,1015,"Wilberforce CHC(CHC),Scan Drive MCHP(MCHP),Signal Hill Rd(MCHP),Blessed Mokaba Central (EPI)(CHP),Blind School Clinic(Clinic)",SL0001,Wilberforce,UWFRCEN
10,,,8.46567,-13.262365,619,1,,10000,1015,"Wilberforce CHC(CHC),Scan Drive MCHP(MCHP),Signal Hill Rd(MCHP),Blessed Mokaba Central (EPI)(CHP),Blind School Clinic(Clinic)",SL0001,Wilberforce,UWFRCEN
